Model,Training Time (s),Final Train Loss,Final Test Loss,RMSE
LSTM,171.83030772209167,1.936518096923452e-06,0.00020581079297699034,32.28334
GRU,165.69116520881653,3.085779485600204e-06,6.170525739435107e-05,17.676876
Transformer,99.43133306503296,0.00015324980319876756,0.007133548613637686,190.06279
